,index,longitude,latitude,dryland_assessment_region,Aridity_zone,land_use_category,tree_cover,B1,B2,B3,B4,B5,B6,B7,B10,B11,pixel_qa,radsat_qa,sr_aerosol,B1_sd,B2_sd,B3_sd,B4_sd,B5_sd,B6_sd,B7_sd,B10_sd,B11_sd,sr_aerosol_sd,pixel_qa_sd,radsat_qa_sd,plot_id
0,0,113.87942859999998,-22.653845,Australia,Arid,forest,0.0,464.0,650.0,1103.0,1594.0,2623.0,3324.0,2622.0,3020.0,2985.0,322,0,96,596.2216270577818,602.7647254822682,571.3784460157985,582.2298637872454,541.0999115558184,522.195602833888,469.38448043814833,58.03475969910906,53.643532428696105,37.47252962091666,1.3093073414159544,0,164
1,1,120.5988269,-29.172809,Australia,Arid,forest,0.75,332.0,438.0,769.0,1301.0,2145.0,3100.0,2297.0,2925.0,2908.0,322,0,96,1671.3941329378436,1659.9178465041143,1519.876190133043,1451.6784390753312,1319.236117354787,826.8957209547847,681.7262332805283,164.50034013570274,155.09219992053266,59.3042197165638,254.77355024562874,0,243
2,2,133.04947669999999,-23.819337,Australia,Arid,forest,0.75,282.5,362.5,590.0,772.5,1632.5,2270.5,1713.5,2896.0,2889.0,322,0,82,1832.4185501540626,1817.7820177630108,1758.2994807775394,1775.635292414145,1635.3104760886015,1043.5879279972237,881.9946566498996,199.18494015516174,190.2834525325108,41.06626914559517,298.48264133695807,0,313
3,3,120.7964563,-29.618568,Australia,Arid,forest,0.75,207.0,285.5,544.5,760.5,1388.5,2097.0,1458.0,2922.5,2907.0,322,0,96,1542.0810923028966,1525.7098340369705,1515.7187653802732,1485.963197678469,1382.4951825351395,760.8310267961317,643.9223104754102,132.1977564334565,119.97096048163078,37.816354333175276,144.41198003202913,0,331
4,4,121.2995128,-29.65527,Australia,Arid,forest,0.75,210.0,299.0,563.0,956.0,1787.0,2387.0,1780.0,2943.0,2926.0,322,0,96,3173.447904273773,3154.285833989545,3050.9271581302173,2954.3399646588787,2633.3762514083483,993.3734819512117,809.1321790603087,255.76552318286144,240.50337169127548,61.15134650592071,259.83349917485094,0,142
5,5,123.31173909999998,-32.797340000000005,Australia,Arid,forest,0.75,242.0,332.0,535.0,657.0,1986.0,1956.0,1317.0,2902.0,2890.0,322,0,96,1789.1466056689087,1738.9803767583896,1636.971676226797,1618.952477104601,1297.9977541080991,879.1189872216922,828.1774818488133,148.1554809871931,139.64510465911525,52.91820420551264,207.99462917528854,0,57
6,6,133.04947669999999,-23.175076999999998,Australia,Arid,forest,0.75,258.0,332.0,589.0,1189.0,1802.0,2679.0,2158.0,2940.0,2921.0,322,0,96,2068.8485686487547,2067.779257353854,2075.0552316229355,2014.5225524390921,1936.559225361655,882.357210895365,587.0667683289444,141.73493033190687,135.71752878330648,47.22549755214465,238.75299050732428,0,303
7,7,119.71847790000001,-28.02710900000001,Australia,Arid,forest,0.25,259.5,369.5,748.5,1379.5,2038.0,2845.5,2160.5,2897.0,2887.5,322,0,96,1772.0090304217144,1756.2068951127478,1599.8076052142328,1464.965962881936,1353.5464585984535,811.530270858383,705.8157102835817,203.9629581852752,193.16214842565716,70.30782040704726,265.270486803246,0,345
8,8,133.53456699999998,-24.02964,Australia,Arid,forest,0.25,246.5,353.5,614.5,850.0,1638.0,2273.0,1664.0,3004.0,2972.0,322,0,96,1191.71946148906,1132.892238774423,1004.7080685603668,947.4651771462433,814.2647667617766,506.146311598325,430.7075347837329,135.98134580495372,124.14967924703976,45.87513638702494,146.75659383992883,0,65
9,9,114.903508,-26.89725,Australia,Arid,forest,0.25,243.0,382.0,817.0,1466.0,2424.0,3586.0,2481.0,2969.0,2944.0,322,0,96,2688.0757815051693,2697.54275096441,2609.226110033516,2498.324844304276,2231.976735148702,835.8468380982808,649.1348727375173,162.51848177052372,153.39045736637985,50.91246459741856,193.58478037716682,0,306
